t,J1,J2,J3,J4,J5,J6,GL,GR
0.984000,-0.001096,-0.979815,0.759711,0.395629,-0.511228,0.598754,0.014696,-0.002664
0.988000,-0.001095,-0.979840,0.759750,0.395663,-0.511256,0.598795,0.014704,-0.002661
0.992000,-0.001093,-0.979864,0.759788,0.395697,-0.511284,0.598835,0.014713,-0.002658
0.996000,-0.001092,-0.979888,0.759826,0.395730,-0.511311,0.598874,0.014722,-0.002656
1.000000,-0.001090,-0.979911,0.759862,0.395763,-0.511337,0.598911,0.014730,-0.002653
1.004000,-0.001088,-0.979933,0.759898,0.395795,-0.511363,0.598949,0.014739,-0.002650
1.008000,-0.001086,-0.979955,0.759934,0.395826,-0.511388,0.598985,0.014747,-0.002648
1.012000,-0.001085,-0.979976,0.759969,0.395857,-0.511413,0.599020,0.014756,-0.002645
1.016000,-0.001083,-0.979996,0.760003,0.395887,-0.511437,0.599055,0.014764,-0.002642
1.020000,-0.001081,-0.980016,0.760036,0.395916,-0.511460,0.599088,0.014773,-0.002640
1.024000,-0.001079,-0.980035,0.760069,0.395945,-0.511483,0.599121,0.014781,-0.002637
1.028000,-0.001077,-0.980054,0.760102,0.395973,-0.511505,0.599153,0.014789,-0.002634
1.032000,-0.001075,-0.980072,0.760134,0.396001,-0.511527,0.599185,0.014798,-0.002632
1.036000,-0.001073,-0.980090,0.760165,0.396028,-0.511549,0.599215,0.014806,-0.002629
1.040000,-0.001071,-0.980107,0.760196,0.396054,-0.511569,0.599245,0.014814,-0.002627
1.044000,-0.001069,-0.980124,0.760226,0.396080,-0.511590,0.599275,0.014822,-0.002624
1.048000,-0.001067,-0.980140,0.760256,0.396105,-0.511610,0.599303,0.014831,-0.002621
1.052000,-0.001065,-0.980156,0.760285,0.396130,-0.511629,0.599331,0.014839,-0.002619
1.056000,-0.001063,-0.980171,0.760314,0.396155,-0.511648,0.599358,0.014847,-0.002616
1.060000,-0.001061,-0.980186,0.760342,0.396179,-0.511667,0.599385,0.014855,-0.002613
1.064000,-0.001059,-0.980200,0.760370,0.396202,-0.511685,0.599411,0.014863,-0.002611
1.068000,-0.001057,-0.980214,0.760397,0.396225,-0.511703,0.599436,0.014871,-0.002608
